id,time,lat,lon,note,status,people_count,priority_score,priority_level,flood_prob_near,time_selected
SOS001,2026-01-11 10:00:00,18.776843,105.590632,mất điện,open,,,,,
SOS002,2026-01-11 10:01:00,18.787708,105.589106,sập nhà,open,,,,,
SOS003,2026-01-11 10:03:00,18.791447,105.608481,thiếu lương thực,open,,,,,
SOS004,2026-01-11 10:08:00,18.794161,105.607596,sập nhà,open,,,,,
SOS005,2026-01-11 10:09:00,18.78458,105.59553,kẹt nước ngập,open,,,,,
SOS006,2026-01-11 10:18:00,18.785565,105.603146,kẹt trên mái,open,,,,,
SOS007,2026-01-11 10:40:00,18.798253,105.60107,cần y tế,open,,,,,
SOS008,2026-01-11 10:40:00,18.790132,105.586907,cần xuồng,open,,,,,
SOS009,2026-01-11 10:50:00,18.794412,105.610781,mắc kẹt 3 người,open,,,,,
SOS010,2026-01-11 11:00:00,18.785865,105.586651,cần y tế,open,,,,,
SOS011,2026-01-11 11:14:00,18.776119,105.582106,nguy cơ sạt lở,open,,,,,
SOS012,2026-01-11 11:15:00,18.792621,105.589301,trẻ em cần sữa,open,,,,,
SOS013,2026-01-11 11:15:00,18.794543,105.610018,đưa người già,open,,,,,
SOS014,2026-01-11 11:23:00,18.78098,105.597717,kẹt trên mái,open,,,,,
SOS015,2026-01-11 11:32:00,18.792261,105.585376,mắc kẹt 3 người,open,,,,,
SOS016,2026-01-11 11:42:00,18.777963,105.600852,cần cứu trợ,open,,,,,
SOS017,2026-01-11 11:53:00,18.773382,105.597823,kẹt trên mái,open,,,,,
SOS018,2026-01-11 12:20:00,18.782395,105.597508,cần y tế,open,,,,,
SOS019,2026-01-11 12:25:00,18.795404,105.609128,mắc kẹt 3 người,open,,,,,
SOS020,2026-01-11 12:31:00,18.784613,105.606275,nguy cơ sạt lở,open,,,,,
SOS021,2026-01-11 11:20:04,18.78379200232936,105.58805465698244,mắc kẹt,open,1.0,49.16666666666666,Medium,0.0757575757575757,2026-01-09 00:00:00
SOS022,2026-01-11 11:20:41,20.97004882093233,105.79727035006005,mắc kẹt,open,1.0,46.63163387000596,Medium,0.0296660703637447,2026-01-09 00:00:00
SOS023,2026-01-11 11:35:15,18.796142975072826,105.59457778930664,mắc kẹt,open,1.0,51.2088090397548,High,0.112887437086451,2026-01-09 00:00:00
SOS024,2026-01-11 18:56:32,18.79086141995746,105.60307502746583,mac ket,open,3.0,45.0,Medium,0.0,2026-01-09 00:00:00
SOS025,2026-01-11 21:50:38,18.7933803361396,105.59552192687988,mắc kẹt,open,2.0,45.0,Medium,0.0,2026-01-09 00:00:00
SOS026,2026-01-12 10:44:07,18.779769615045645,105.5946207046509,mắc kẹt,open,1.0,71.9047619047619,Cao,0.4891774891774891,2026-01-09 01:00:00
SOS027,2026-01-13 09:19:20,18.793908491205244,105.59238910675049,mắc kẹt,open,5.0,45.3525641025641,Trung bình,0.0064102564102564,2026-01-12 22:00:00
SOS028,2026-03-08 16:39:02,18.666,105.666,Chạy thử tự động hệ thống routing Python AI!,open,5,,,,
SOS029,2026-03-09 12:15:45,19.2625,105.7138,help me,open,1,,,,
SOS030,2026-03-09 12:16:53,19.2625,105.7138,help me,open,1,,,,
SOS031,2026-03-09 12:29:40,19.2625,105.7138,Help me,open,1,,,,
SOS032,2026-03-09 12:56:54,19.2625,105.7138,cứu,open,1,,,,
SOS033,2026-03-09 21:06:41,19.2625,105.7138,help,open,1,,,,
